path_key,match_type,path_legacy,path_processed,http_legacy,http_processed,env_legacy,env_processed,found_on_legacy,found_on_processed,url_legacy,url_processed,notes
/info/premium,processed-only,,/info/premium,,200,,next,,/info/premium-terms-and-conditions,,https://qa-es-site-oriol.fxstreet.com/info/premium,"accessible on processed, not in legacy crawl"
/info/premium-terms-and-conditions,processed-only,,/info/premium-terms-and-conditions,,200,,next,,/info/terms-conditions,,https://qa-es-site-oriol.fxstreet.com/info/premium-terms-and-conditions,"accessible on processed, not in legacy crawl"
/info/prevention,same-path,/info/prevention,/info/prevention,200,200,sitefinity,next,/,/,https://www.fxstreet.es/info/prevention,https://qa-es-site-oriol.fxstreet.com/info/prevention,
/info/privacy-policy,processed-only,/info/privacy-policy,/info/privacy-policy,404,200,,next,/,/,https://www.fxstreet.es/info/privacy-policy,https://qa-es-site-oriol.fxstreet.com/info/privacy-policy,"legacy linked but HTTP 404 from /; accessible on processed, not in legacy crawl"
/info/terms-conditions,same-path,/info/terms-conditions,/info/terms-conditions,200,200,sitefinity,next,/,/,https://www.fxstreet.es/info/terms-conditions,https://qa-es-site-oriol.fxstreet.com/info/terms-conditions,
/live-video,legacy-only,/live-video,,200,,sitefinity,,/analysis,,https://www.fxstreet.es/live-video,,"accessible on legacy, not in processed crawl"
/markets/commodities,legacy-only,/markets/commodities,,200,,sitefinity,,/analysis,,https://www.fxstreet.es/markets/commodities,,"accessible on legacy, not in processed crawl"
/markets/equities,legacy-only,/markets/equities,,200,,sitefinity,,/analysis,,https://www.fxstreet.es/markets/equities,,"accessible on legacy, not in processed crawl"
/mexico,legacy-only,/mexico,,200,,sitefinity,,/,,https://www.fxstreet.es/mexico,,"accessible on legacy, not in processed crawl"
/news,same-path,/news,/news,200,200,sitefinity,next,/,/,https://www.fxstreet.es/news,https://qa-es-site-oriol.fxstreet.com/news,
/press-releases,legacy-only,/press-releases,,200,,sitefinity,,/,,https://www.fxstreet.es/press-releases,,"accessible on legacy, not in processed crawl"
/rates-charts,same-path,/rates-charts,/rates-charts,200,200,sitefinity,next,/,/,https://www.fxstreet.es/rates-charts,https://qa-es-site-oriol.fxstreet.com/rates-charts,
/rates-charts/chart,same-path,/rates-charts/chart,/rates-charts/chart,200,200,sitefinity,next,/,/,https://www.fxstreet.es/rates-charts/chart,https://qa-es-site-oriol.fxstreet.com/rates-charts/chart,
/rates-charts/chart-interactive,same-path,/rates-charts/chart-interactive,/rates-charts/chart-interactive,200,200,sitefinity,next,/rates-charts,/rates-charts,https://www.fxstreet.es/rates-charts/chart-interactive,https://qa-es-site-oriol.fxstreet.com/rates-charts/chart-interactive,
/rates-charts/chart/station,legacy-only,/rates-charts/chart/station,,200,,sitefinity,,/rates-charts/chart,,https://www.fxstreet.es/rates-charts/chart/station,,"accessible on legacy, not in processed crawl"
/rates-charts/forecast,same-path,/rates-charts/forecast,/rates-charts/forecast,200,200,sitefinity,next,/,/,https://www.fxstreet.es/rates-charts/forecast,https://qa-es-site-oriol.fxstreet.com/rates-charts/forecast,
/rates-charts/indicators,same-path,/rates-charts/indicators,/rates-charts/indicators,200,200,sitefinity,next,/,/,https://www.fxstreet.es/rates-charts/indicators,https://qa-es-site-oriol.fxstreet.com/rates-charts/indicators,
/rates-charts/indicators/technical-levels,legacy-only,/rates-charts/indicators/technical-levels,,200,,sitefinity,,/,,https://www.fxstreet.es/rates-charts/indicators/technical-levels,,"accessible on legacy, not in processed crawl"
/rates-charts/rates,same-path,/rates-charts/rates,/rates-charts/rates,200,200,sitefinity,next,/,/,https://www.fxstreet.es/rates-charts/rates,https://qa-es-site-oriol.fxstreet.com/rates-charts/rates,
/rates-charts/rates/crosses/gbp,legacy-only,/rates-charts/rates/crosses/gbp,,200,,sitefinity,,/bonds,,https://www.fxstreet.es/rates-charts/rates/crosses/gbp,,"accessible on legacy, not in processed crawl"
/rates-charts/rates/indices,neither-accessible,/rates-charts/rates/indices,,404,,,,/bonds,,https://www.fxstreet.es/rates-charts/rates/indices,,legacy linked but HTTP 404 from /bonds
/rss,same-path,/rss,/rss,200,200,unknown,unknown,/,/,https://www.fxstreet.es/rss,https://qa-es-site-oriol.fxstreet.com/rss,
/sitemap-all.xml,legacy-only,/sitemap-all.xml,/sitemap-all.xml,200,404,unknown,,/,/,https://www.fxstreet.es/sitemap-all.xml,https://qa-es-site-oriol.fxstreet.com/sitemap-all.xml,"processed linked but HTTP 404 from /; accessible on legacy, not in processed crawl"
/subscriptions,same-path,/subscriptions,/subscriptions,200,200,sitefinity,next,/,/,https://www.fxstreet.es/subscriptions,https://qa-es-site-oriol.fxstreet.com/subscriptions,
/technical-analysis/elliott-wave,legacy-only,/technical-analysis/elliott-wave,,200,,sitefinity,,/,,https://www.fxstreet.es/technical-analysis/elliott-wave,,"accessible on legacy, not in processed crawl"
/technical-analysis/sentiment/risk-appetite,legacy-only,/technical-analysis/sentiment/risk-appetite,,200,,sitefinity,,/markets/commodities,,https://www.fxstreet.es/technical-analysis/sentiment/risk-appetite,,"accessible on legacy, not in processed crawl"
/technical-analysis/support-resistance,legacy-only,/technical-analysis/support-resistance,,200,,sitefinity,,/,,https://www.fxstreet.es/technical-analysis/support-resistance,,"accessible on legacy, not in processed crawl"
/technical-analysis/support-resistance/fibonacci,legacy-only,/technical-analysis/support-resistance/fibonacci,,200,,sitefinity,,/rates-charts/indicators,,https://www.fxstreet.es/technical-analysis/support-resistance/fibonacci,,"accessible on legacy, not in processed crawl"
/technical-analysis/support-resistance/pivot-points,legacy-only,/technical-analysis/support-resistance/pivot-points,,200,,sitefinity,,/rates-charts/indicators,,https://www.fxstreet.es/technical-analysis/support-resistance/pivot-points,,"accessible on legacy, not in processed crawl"
/transparency-translations,same-path,/transparency-translations,/transparency-translations,200,200,sitefinity,next,/,/,https://www.fxstreet.es/transparency-translations,https://qa-es-site-oriol.fxstreet.com/transparency-translations,
